date,time,open,high,low,close,volumn
20200703,0945,11783,11850,11752,11764,22699
20200703,1045,11763,11816,11757,11806,10234
20200703,1145,11806,11830,11792,11829,5207
20200703,1245,11830,11833,11802,11809,3351
20200703,1345,11809,11838,11806,11838,4607
20200703,1600,11870,11895,11870,11886,2892
20200703,1700,11886,11889,11872,11883,908
20200703,1800,11883,11885,11868,11872,740
20200703,1900,11873,11886,11863,11883,1014
20200703,2000,11883,11884,11869,11873,506
20200703,2100,11874,11878,11868,11870,458
20200703,2200,11870,11878,11869,11877,412
20200703,2300,11877,11880,11850,11867,1279
20200704,0000,11867,11878,11861,11878,560
20200704,0100,11878,11881,11870,11873,373
20200704,0200,11873,11875,11870,11874,113
20200704,0300,11873,11874,11866,11874,157
20200704,0400,11873,11880,11871,11878,212
20200704,0500,11878,11885,11870,11875,383
20200706,0945,11875,12014,11875,12009,22407
20200706,1045,12009,12021,11992,12020,8903
20200706,1145,12019,12052,12010,12045,5790
20200706,1245,12045,12072,12041,12042,6802
20200706,1345,12042,12070,12039,12065,9415
20200706,1600,12071,12097,12057,12084,3257
20200706,1700,12084,12086,12062,12063,1473
20200706,1800,12064,12066,12030,12054,2206
20200706,1900,12055,12082,12054,12072,1087
20200706,2000,12072,12073,12058,12073,487
20200706,2100,12073,12084,12069,12075,908
20200706,2200,12074,12093,12064,12090,1633
20200706,2300,12090,12106,12074,12105,2794
20200707,0000,12105,12120,12101,12106,1528
20200707,0100,12107,12122,12103,12116,714
20200707,0200,12115,12124,12107,12124,493
20200707,0300,12123,12124,12105,12118,550
20200707,0400,12119,12133,12111,12133,680
20200707,0500,12131,12137,12128,12133,745
20200707,0945,12134,12192,12044,12045,30301
20200707,1045,12044,12078,11990,12073,17342
20200707,1145,12074,12095,12048,12093,6680
20200707,1245,12093,12097,12032,12059,6400
20200707,1345,12060,12064,12018,12027,6321
20200707,1600,12010,12017,11967,11992,4158
20200707,1700,11991,11998,11972,11985,1307
20200707,1800,11986,11994,11971,11990,1047
20200707,1900,11990,12003,11976,11995,1058
20200707,2000,11996,12019,11994,12014,1408
20200707,2100,12013,12026,12006,12018,1168
20200707,2200,12018,12045,12009,12033,2388
20200707,2300,12033,12059,12029,12055,2470
20200708,0000,12055,12082,12050,12062,2088
20200708,0100,12062,12067,12044,12055,1071
20200708,0200,12055,12059,12043,12052,580
20200708,0300,12052,12054,12013,12026,1104
20200708,0400,12026,12027,11987,11994,1549
20200708,0500,11994,12001,11990,11994,529
20200708,0945,11993,12131,11993,12118,19343
20200708,1045,12119,12141,12072,12121,12694
20200708,1145,12122,12144,12122,12141,5793
20200708,1245,12142,12145,12105,12120,5170
20200708,1345,12120,12144,12113,12125,8588
20200708,1600,12127,12154,12125,12143,2472
20200708,1700,12143,12159,12128,12148,1740
20200708,1800,12148,12151,12121,12134,1529
20200708,1900,12134,12143,12125,12140,734
20200708,2000,12141,12146,12131,12141,733
20200708,2100,12141,12144,12132,12137,510
20200708,2200,12137,12161,12134,12158,1748
20200708,2300,12158,12162,12146,12157,1693
20200709,0000,12157,12159,12117,12143,2493
20200709,0100,12143,12166,12141,12163,1181
20200709,0200,12164,12168,12150,12153,657
20200709,0300,12152,12175,12151,12174,619
20200709,0400,12172,12198,12172,12197,1270
20200709,0500,12198,12207,12193,12199,915
20200709,0945,12202,12222,12157,12210,21800
20200709,1045,12210,12218,12118,12136,14949
20200709,1145,12136,12166,12124,12159,6867
20200709,1245,12158,12188,12157,12168,5234
20200709,1345,12167,12174,12135,12147,7112
20200709,1600,12138,12153,12132,12150,2107
20200709,1700,12151,12164,12147,12154,1088
20200709,1800,12154,12169,12146,12163,1063
20200709,1900,12163,12166,12153,12156,547
20200709,2000,12156,12170,12156,12165,462
20200709,2100,12165,12178,12160,12175,731
20200709,2200,12175,12183,12161,12178,1740
20200709,2300,12178,12187,12150,12151,3470
20200710,0000,12151,12156,12103,12132,5211
20200710,0100,12132,12164,12131,12158,1654
20200710,0200,12158,12176,12149,12154,1372
20200710,0300,12154,12180,12151,12179,699
20200710,0400,12179,12199,12175,12187,1283
20200710,0500,12187,12193,12183,12189,535
20200710,0945,12188,12213,11991,12030,30892
20200710,1045,12029,12095,12019,12036,12754
20200710,1145,12036,12084,12032,12070,6805
20200710,1245,12070,12085,12048,12063,4833
20200710,1345,12062,12069,11987,11999,11348
20200710,1600,12006,12045,12002,12044,3200
20200710,1700,12043,12060,12037,12043,1851
20200710,1800,12042,12054,12033,12048,813
20200710,1900,12049,12059,12044,12056,598
20200710,2000,12056,12069,12054,12054,1098
20200710,2100,12055,12081,12047,12074,1654
20200710,2200,12074,12086,12044,12055,3055
20200710,2300,12054,12067,12038,12051,2727
20200711,0000,12052,12065,12044,12060,1210
20200711,0100,12059,12060,12030,12050,1503
20200711,0200,12050,12052,12038,12049,592
20200711,0300,12049,12061,12043,12060,579
20200711,0400,12060,12081,12059,12076,926
20200711,0500,12075,12098,12074,12090,962
20200713,0945,12091,12170,12091,12112,20085
20200713,1045,12111,12183,12105,12166,11737
20200713,1145,12165,12187,12161,12181,5262
20200713,1245,12183,12188,12174,12179,2648
20200713,1345,12180,12210,12179,12205,7231
20200713,1600,12191,12195,12178,12182,1855
20200713,1700,12181,12187,12169,12176,1273
20200713,1800,12176,12188,12175,12188,720
20200713,1900,12187,12202,12181,12201,757
20200713,2000,12201,12219,12200,12215,1519
20200713,2100,12215,12218,12198,12205,645
20200713,2200,12205,12241,12204,12230,2711
20200713,2300,12230,12290,12226,12289,3612
20200714,0000,12289,12297,12275,12291,2153
20200714,0100,12291,12295,12282,12285,685
20200714,0200,12284,12294,12276,12276,651
20200714,0300,12276,12277,12215,12250,2844
20200714,0400,12249,12250,12135,12152,4050
20200714,0500,12154,12165,12140,12149,1124
20200714,0945,12148,12205,12140,12188,20422
20200714,1045,12188,12224,12119,12149,15973
20200714,1145,12148,12167,12133,12149,6496
20200714,1245,12149,12162,12130,12152,4269
20200714,1345,12153,12192,12152,12188,6970
20200714,1600,12206,12221,12181,12190,2818
20200714,1700,12189,12210,12188,12202,1061
20200714,1800,12202,12214,12197,12205,795
20200714,1900,12205,12207,12192,12204,714
20200714,2000,12204,12208,12192,12204,652
20200714,2100,12203,12208,12173,12175,1253
20200714,2200,12175,12203,12158,12181,4097
20200714,2300,12182,12202,12162,12192,3171
20200715,0000,12191,12217,12185,12206,2253
20200715,0100,12206,12229,12202,12213,1449
20200715,0200,12211,12235,12195,12226,1285
20200715,0300,12227,12242,12225,12239,753
20200715,0400,12239,12259,12225,12257,1051
20200715,0500,12257,12264,12252,12262,663
20200715,0945,12262,12323,12258,12294,14257
20200715,1045,12294,12303,12276,12285,4918
20200715,1145,12284,12295,12234,12249,5336
20200715,1245,12250,12250,12150,12227,8374
20200715,1345,12226,12251,12215,12220,3595
20200715,1600,12062,12078,12055,12069,2441
20200715,1700,12069,12077,12065,12071,637
20200715,1800,12072,12094,12066,12086,1199
20200715,1900,12086,12111,12085,12108,1415
20200715,2000,12108,12129,12107,12119,1493
20200715,2100,12120,12126,12115,12120,873
20200715,2200,12121,12127,12083,12089,3302
20200715,2300,12090,12121,12081,12113,2372
20200716,0000,12113,12115,12064,12065,3135
20200716,0100,12064,12086,12049,12085,2400
20200716,0200,12084,12099,12079,12088,1165
20200716,0300,12088,12111,12080,12083,1116
20200716,0400,12084,12103,12076,12091,728
20200716,0500,12090,12102,12090,12100,483
20200716,0945,12099,12099,12022,12073,19972
20200716,1045,12072,12083,11973,11992,17574
20200716,1145,11992,11992,11931,11954,11620
20200716,1245,11954,11998,11953,11994,6420
20200716,1345,11994,12040,11981,12032,10885
20200716,1600,12026,12047,12020,12024,3357
20200716,1700,12024,12029,11992,12005,2048
20200716,1800,12005,12013,11986,12004,1532
20200716,1900,12004,12017,12002,12015,970
20200716,2000,12015,12030,12015,12019,1070
20200716,2100,12019,12022,11995,12009,1318
20200716,2200,12009,12021,11992,11995,2777
20200716,2300,11995,12022,11973,12006,4377
20200717,0000,12005,12013,11993,12007,1608
20200717,0100,12007,12027,12001,12012,986
20200717,0200,12013,12036,12013,12026,1192
20200717,0300,12025,12049,12023,12024,952
20200717,0400,12026,12058,12021,12053,1069
20200717,0500,12054,12054,12037,12050,528
20200717,0945,12049,12114,12035,12061,19798
20200717,1045,12061,12138,12030,12118,14315
20200717,1145,12119,12121,12071,12077,7397
20200717,1245,12077,12088,12033,12036,6250
20200717,1345,12035,12048,12011,12039,8343
20200717,1600,12048,12054,12033,12034,1520
20200717,1700,12034,12052,12027,12048,899
20200717,1800,12048,12058,12040,12049,940
20200717,1900,12049,12064,12047,12057,670
20200717,2000,12057,12060,12050,12060,421
20200717,2100,12060,12068,12058,12061,762
20200717,2200,12061,12077,12049,12058,2017
20200717,2300,12058,12063,12036,12050,2156
20200718,0000,12050,12055,12036,12053,1091
20200718,0100,12053,12058,12042,12045,570
20200718,0200,12045,12050,12039,12042,528
20200718,0300,12042,12055,12042,12049,325
20200718,0400,12049,12056,12042,12056,418
20200718,0500,12056,12059,12040,12047,483
20200720,0945,12049,12075,11903,11959,27649
20200720,1045,11959,11990,11926,11988,10238
20200720,1145,11988,12054,11988,12051,10542
20200720,1245,12051,12056,12015,12029,5592
20200720,1345,12028,12047,12010,12031,6471
20200720,1600,12029,12041,12014,12038,1684
20200720,1700,12038,12053,12031,12050,1070
20200720,1800,12050,12067,12050,12056,1193
20200720,1900,12055,12059,12050,12055,325
20200720,2000,12054,12065,12054,12059,451
20200720,2100,12060,12074,12051,12068,693
20200720,2200,12068,12073,12040,12055,2004
20200720,2300,12054,12087,12053,12078,1987
20200721,0000,12079,12094,12077,12085,1039
20200721,0100,12084,12090,12079,12087,591
20200721,0200,12087,12098,12083,12094,578
20200721,0300,12094,12104,12091,12096,524
20200721,0400,12096,12119,12088,12116,791
20200721,0500,12116,12119,12104,12106,550
20200721,0945,12107,12224,12107,12209,21241
20200721,1045,12209,12297,12202,12293,14688
20200721,1145,12292,12318,12284,12310,8500
20200721,1245,12309,12324,12297,12317,5031
20200721,1345,12317,12319,12267,12289,11826
20200721,1600,12298,12334,12293,12330,2858
20200721,1700,12331,12357,12324,12354,1615
20200721,1800,12354,12369,12353,12357,1794
20200721,1900,12358,12368,12349,12358,967
20200721,2000,12358,12365,12353,12359,632
20200721,2100,12358,12360,12350,12351,437
20200721,2200,12351,12351,12290,12329,5569
20200721,2300,12329,12330,12284,12315,3613
20200722,0000,12315,12324,12298,12307,1871
20200722,0100,12306,12319,12302,12314,742
20200722,0200,12313,12316,12292,12313,652
20200722,0300,12311,12332,12311,12325,570
20200722,0400,12324,12326,12254,12262,2175
20200722,0500,12263,12275,12259,12268,614
20200722,0945,12270,12350,12256,12324,20522
20200722,1045,12324,12351,12290,12342,9930
20200722,1145,12342,12361,12327,12334,5651
20200722,1245,12333,12346,12321,12334,3132
20200722,1345,12335,12338,12297,12331,8136
